Area name,Area code,Area type,Specimen date,Daily lab-confirmed cases,Cumulative lab-confirmed cases
Wirral,E08000015,Upper tier local authority,17/04/2020,0,727
Wokingham,E06000041,Upper tier local authority,17/04/2020,0,210
Wolverhampton,E08000031,Upper tier local authority,17/04/2020,0,533
Worcestershire,E10000034,Upper tier local authority,17/04/2020,0,805
York,E06000014,Upper tier local authority,17/04/2020,0,160
England,E92000001,Country,16/04/2020,1012,86874
East of England,E12000006,Region,16/04/2020,64,7203
London,E12000007,Region,16/04/2020,165,20904
North East,E12000001,Region,16/04/2020,61,5115
West Midlands,E12000005,Region,16/04/2020,83,9029
North West,E12000002,Region,16/04/2020,108,13229
East Midlands,E12000004,Region,16/04/2020,40,4913
South West,E12000009,Region,16/04/2020,162,4441
Yorkshire and The Humber,E12000003,Region,16/04/2020,122,6547
South East,E12000008,Region,16/04/2020,152,11859
Barking and Dagenham,E09000002,Upper tier local authority,16/04/2020,3,383
Barnet,E09000003,Upper tier local authority,16/04/2020,9,1055
Barnsley,E08000016,Upper tier local authority,16/04/2020,7,441
Bath and North East Somerset,E06000022,Upper tier local authority,16/04/2020,3,161
Bexley,E09000004,Upper tier local authority,16/04/2020,7,491
Birmingham,E08000025,Upper tier local authority,16/04/2020,2,2133
Bolton,E08000001,Upper tier local authority,16/04/2020,6,512
"Bournemouth, Christchurch and Poole",E06000058,Upper tier local authority,16/04/2020,10,295
Bradford,E08000032,Upper tier local authority,16/04/2020,13,535
Brent,E09000005,Upper tier local authority,16/04/2020,13,1160
Brighton and Hove,E06000043,Upper tier local authority,16/04/2020,3,278
"Bristol, City of",E06000023,Upper tier local authority,16/04/2020,25,438
Bromley,E09000006,Upper tier local authority,16/04/2020,10,874
Bury,E08000002,Upper tier local authority,16/04/2020,4,295
Calderdale,E08000033,Upper tier local authority,16/04/2020,5,179
Cambridgeshire,E10000003,Upper tier local authority,16/04/2020,1,463
Camden,E09000007,Upper tier local authority,16/04/2020,4,489
Central Bedfordshire,E06000056,Upper tier local authority,16/04/2020,1,352
Cheshire East,E06000049,Upper tier local authority,16/04/2020,29,566
Cheshire West and Chester,E06000050,Upper tier local authority,16/04/2020,7,525
Cornwall and Isles of Scilly,E06000052,Upper tier local authority,16/04/2020,10,368
County Durham,E06000047,Upper tier local authority,16/04/2020,20,857
Croydon,E09000008,Upper tier local authority,16/04/2020,2,1140
Cumbria,E10000006,Upper tier local authority,16/04/2020,10,1429
Derbyshire,E10000007,Upper tier local authority,16/04/2020,4,870
Devon,E10000008,Upper tier local authority,16/04/2020,3,481
Dudley,E08000027,Upper tier local authority,16/04/2020,14,535
Ealing,E09000009,Upper tier local authority,16/04/2020,8,893
East Riding of Yorkshire,E06000011,Upper tier local authority,16/04/2020,8,312
East Sussex,E10000011,Upper tier local authority,16/04/2020,9,408
Enfield,E09000010,Upper tier local authority,16/04/2020,14,667
Essex,E10000012,Upper tier local authority,16/04/2020,4,1781
Gateshead,E08000037,Upper tier local authority,16/04/2020,2,533
Gloucestershire,E10000013,Upper tier local authority,16/04/2020,42,881
Greenwich,E09000011,Upper tier local authority,16/04/2020,8,555
Hackney,E09000012,Upper tier local authority,16/04/2020,3,543
Hammersmith and Fulham,E09000013,Upper tier local authority,16/04/2020,5,445
Hampshire,E10000014,Upper tier local authority,16/04/2020,56,1996
